Code Number,Phrases,id
031-B-30,"3SG 301,302--WHEN WAS THE TOWER OF BABLE BUILT?",486
031-B-031,JOHN THE BAPTIST--MISSION ATTESTED BY MIRACLE AND PROPHECY (DA 43),487
031-B-32,MOSES TO PALACE WHEN TWELVE (PP 244),488
031-B-33,"JERUSALEM NOT A SACRED PLACE, CURSE OF GOD UPON IT",489
031-B-34,"""A THOUSAND YEARS LATER"" (PP 138)",490
031-B-34-A,"""THOUSANDS OF GENERATIONS""",491
031-B-35,CHILDREN TO MATURE DURING MILLENIUM?,492
031-B-36,"GC BULLETIN, MARCH 3, 1895, RE COLPORTEUR IMAGE",493
031-B-37,LIMITS PLACED ON ADAM AND EVE,494
031-B-38,"INSTITUTIONS--""TOO LARGE, TOO SMALL,"" MEANING?",495
031-B-39,"SATAN'S APPEARANCE, ANGEL OR MAN--DA 118 VS 1T 293",496
031-C-1,AIRPLANES,497
031-C-2,"APOCRYPHA, DID EGW USE?",498
031-C-3,ASTRONOMY VISION--SEVEN MOONS,499
031-C-4,"BABEL, TOWER OF BEFORE FLOOD",500
031-C-5,"BEARDS, MISCELLANEOUS",501
031-C-6,"""DANIEL AND REVELATION""",502
031-C-7,"DREAMS, VALUE OF",503
031-C-8,FOREIGN WORK IN AMERICA,504
031-C-9,GUIDANCE BY CHANCE METHODS,505
031-C-10,"SOUTHERN FIELD, WORK TO CLOSE IN",506
031-C-ll,PRESS RELATIONS,507
031-C-12,"CHURCHES, ATTENDING OTHER THAN SDA",508
031-C-13,COLPORTEURING,509
031-C-14,OPEN AIR AND STREET MEETINGS,510
031-C-15,"HEATHEN, WORK FOR",511
031-C-16,"WESSELS, STORIES OF ""FROM DIAMONDS TO DUST""",512
031-C-17,DID EGW READ PAINE AND INGERSOLL,513
031-C-18,"TREE OF LIFE, TREE OF KNOWLEDGE? RH, AUG, 18, 1874",514
031-C-19,"""SPIRIT OF PROPHECY""--WHEN FIRST USED?",515
031-C-20,VENTRILOQUISM,516
031-C-21,"ST. CLAIR, NEVADA",517
031-C-22,ROOM TEMPERATURE AT 65,518
031-C-23,IMAGES OF JESUS AND MARY,519
031-C-24,"WHAT IS PROTESTANTISM, EGW STATEMENT REGARDING",520
031-C-25,ELIJAH FED BY RAVENS,521
031-C-26,DAVID MITCHELL'S BOOK FAITH IN ACTION,522
031-C-27,SHOULD WE BUILD CROSSES ON CHURCHES?,523
031-C-28,WILDWOOD PHILOSOPHY,524
031-C-29,"AUCTIONS, PARTICIPATING IN",525
031-C-30,EARTH POPULATED BY PREDETERMINED NUMBER,526
031-C-31,"ISAIAH 56:10 ""DUMB DOGS""",527
031-C-32,"""SILENCE IS GOLDEN"" STATEMENT RE",528
031-C-33,"""NOT ONE IN TWENTY IS CONVERTED""",529
031-C-34,DID EGW MENTION THE LATTER DAY SAINTS?,530
031-C-35,ARE OTHER WORLDS INHABITED?,531
031-C-36,"SEVEN LAST PLAGUES--GREGORY'S COME, LET US GO...",532
031-C-37,SELF-SUPPORTING SCHOOLS' EGW ATTITUDE,533
031-C-38,WAS BELSHAZZAR SAVED?,534
031-C-39,SMITH AND WHITE STATEMENTS IN PRESENT TRUTH,535
031-C-40,"""WAY OF LIFE"" PICTURE",536
031-C-41,"ANIMALS, CRUELTY TO BIRDS, MIGRATIONS OF",537
031-C-42,SALVATION OF INFANTS,538
031-C-43,POSSESSION OF OUIJA BOARD,539
031-C-44,CAPTAIN NORMAN,540
031-C-45,"EGW, WAS SHE INFLUENCED?",541
031-C-46,SILENCE IN HEAVEN FOR HALF AN HOUR,542
031-C-47,DAY LINE IN AUSTRALIA,543
031-C-48,CREMATION,544
031-C-49,EGW AND PIONEEERS TRAVELING BY STAGECOACH,545
031-C-50,D L MOODY AND SABBATH QUESTION,546
031-D-2,CIVIL WAR STATEMENTS,547
031-D-3,"END, NEARNESS OF",548
031-D-4,"SLAVERY, WHEN CHRIST RETURNS",549
031-D-5,TIME NEARLY FINISHED,550
031-D-6,UNITED STATES HUMBLED,551
031-D-7,JUDGMENTS--SPECIFIC EARTHQUAKES PREDICTED,552
031-D-7-A,COUNTRY LIVING--FLEE FROM CITIES,553
031-D-8,AMALGAMATION,554
031-D-9,DISBELIEF IN PP 251 MOSES WROTE GENESIS,555
031-D-10,"PETER AND JOHN, DISCREPANCY DA 245 AND 2SP 184",556
031-D-ll,ONLY SDAS EMPLOYED IN OUR INSTITUTIONS IN LAST DAYS,557
031-D-12,SHUT DOOR TEACHINGS MISINTERPRETATIONS,558
031-E-1,"IRON AND CLAY, CHURCHCRAFT",559
031-E-2,PRAYERS OF CHRISTIAN MOTHERS NOT TO BE DISREGARDED,560
031-E-3,"""BALLS OF FIRE"" DID EGW SEE FALLING?",561
031-E-4,AGED AND CHILDREN LAID AWAY BEFORE CHRIST COMES,562
031-F-1,ACTS 3:19; 2 THESS 2:9; REV ll:18; COL. 4:10,563
031-F-2,"""FORETOLD"" AS USED IN EZEKIEL",564
031-F-3,HEBREW AND GREEK,565
034-A-1,CANCER,566
034-A-2,HEART TROUBLE,567
034-A-3,DISEASE IN ANIMALS,568
034-B,DRUGS,569
034-B-1,BRANDY AND WINE,570
034-B-1-A,"""DOMESTIC WINE"" 2T 384,386",571
034-B-2,QUININE,572
034-B-4,OPIUM,573
034-B-5,"FOLK MEDICINE, J. C. JARVIS",574
034-C-1,CHIROPRACTORS,575
034-C-2,OSTEOPATHY,576
034-C-3,SHOULD WE JOIN AMA?,577
034-C-4,"MEN IN OB AND GYN, EGW COUNSEL",578
034-C-5,HOMOPATHY VS ALLOPATHY,579
034-C-6,MD'S PRACTICE NEAR SAN THAT HE HAS JUST LEFT,580
034-C-7,IS PRACTICE OF MODERN MEDICINE IN HARMONY WITH SOP?,581
034-C-7-A,EUTHANASIA,582
034-C-8,"PHYSICIANS, SHOULD THEY BE ORDAINED?",583
034-D-1,PROHIBITION,584
034-D-2,STRONG DRINK,585
034-D-3,"TEMPERANCE PLEDGE, DID EGW PREPARE?",586
034-E-1-A,"IRIDOLOGY, SCIENCE OF",587
034-E-1,X-RAY AND ELECTRICAL TREATMENTS,588
034-E-2,VACCINATIONS AND SERUMS,589
034-E-4,PHYSICAL LABOR AND ILLNESS,590
034-F-1,"MIND, DEALING WITH, IN ILLNESS",591
034-F-2,MIND ENFEEBLED SINCE THE FALL,592
034-F-3,MENTAL TELEPATHY,593
034-F-4,MIND READING,594
034-G-1,"CHARCOAL, USE OF",595
034-G-2,"HERBS, USE OF IN MEDICAL MINISTRY",596
034-G-2-A,"HERBS, USE OF IN TREATING ILLNESS",597
034-H,HEALTH REFORM,598
034-H-1,"HEALTH REFORM, HISTORY OF",599
034-H-1-A,SCIENTIFIC CONFIRMATION,600
034-H-2,HEALTH FOOD WORK,601
034-H-3,MEDICAL EVANGELISM,602
034-I,MESMERISM--HYPNOSIS,603
034-I-1,"MESMERISM ""GOOD IN ITS PLACE""",604
034-J,DIVINE HEALING,605
034-K-1,JETHRO KLOSS,606
034-K-2,JULIUS GILBERT WHITE,607
034-L-1,MOVEMENT CURE AND MASSAGE,608
037-A,DIVORCE,609
037-A-1,DIVORCE AND REMARRIAGE,610
037-B,MARRIAGE,611
037-B-1,"MARRIAGE, MIXED, WITH NON-CHRISTIANS",612
037-B-2,"MARRIAGE, MIXED, BLACK AND WHITE",613
037-B-3,MARRIAGE AND CHILDREN IN HEAVEN,614
037-B-4,MARRIAGE AND UNFAITHFULNESS,615
037-C,MARITAL RELATIONS AND BIRTH CONTROL,616
037-C-1,ABORTION--MURDER OF UNBORN CHILDREN,617
037-D-1,HOMOSEXUALITY,618
037-D,POLYGAMY,619
037-E-1,COURTSHIP AND SCHOOLS,620
037-F,CORPORAL PUNISHMENT,621
039-A-1,ORIGIN OF NEGROES,622
039-A-2,NO COLOR LINE IN HEAVEN,623
039-A-3,RACE RELATIONS. WILL NEGRO BLOOD FLOW IN STREETS?,624
039-A-4,EGW STATEMENT IN 1891 RE WORK IN SOUTH,625
040-A,"HARMONY OF GC 418 AND PP 354, 355",626
040-B,SCAPEGOAT,627
040-C,VEIL RENEWED YEARLY,628
040-D,"SANCTUARY, ARTICLES OF FURNITURE IN EARTHLY",629
040-D-1,SANCTUARY IN HEAVEN. IS IT LITERAL OR SYMBOLIC?,630
043-A,ATTITUDES TOWARD THE SPIRIT OF PROPHECY.,631
043-A-1,BASIS OF CONFIDENCE IN SPIRIT OF PROPHECY,632
043-A-2,"OLD FASHIONED, OUT OF DATE",633
043-A-3,USE OF EGW INSTEAD OF ELLEN WHITE,634
043-A-4,SP OF PROPHECY STUDIED IN LIGHT OF CONDITION WHEN WRITTEN,635
043-A-5,"EDUCATION, WHAT A NON-ADVENTIST SAYS",636
043-B-1,BEGINNING OF PUBLIC MINISTRY OF EGW,637
043-B-2,"DEATH OF EGW, EXPECTATION REGARDING",638
043-B-3,"PROPHET, EGW CLAIMS REGARDING BEING ONE",639
043-B-4,"EGW AND CANCER, PERSONAL EXPERIENCES",640
043-B-5,WAS EGW ORDAINED?,641
043-B-6,EGW AS HOMEMAKER AND TRAVELER,642
043-B-7,EGW'S LAST ACCIDENT AND ILLNESS,643
043-B-6-A,HOW CHILDREN WERE TREATED IN EGW'S HOME,644
043-B-6-B,EGW GAVE BOLT OF RED TO WCW'S SISTER,645
043-B-8,BIOGRAPHICAL FILM REGARDING EGW,646
043-B-9,EGW VISIT TO PHILADELPHIA,647
043-B-10,EDUCATION OF EGW,648
043-B-ll,"EGW VISIT TO SAN PASQUAL, CA (JUDSON FAMILY)",649
043-B-12,"BIRTHPLACE OF EGW, LOCATION IN GORHAM, MAINE",650
043-B-13,FAITH AS EXPRESSED IN EGW'S EXPERIENCE,651
043-B-14,REBAPTISM OF EGW,652
043-B-15,EGW'S TWIN SISTER ELIZABETH BANGS,653
043-B-15-A,"EGW'S BROTHER, ROBERT, DID HE BECOME SDA",654
043-B-16,EGW'S VOICE COULD BE HEARD A MILE,655
043-B-17,EGW'S METHOD OF HANDLING JAMES WHITE'S ILLNESS.,656
043-B-18,FANNIE BOLTON,657
043-B-19,PLAGIARISM,658
043-B-20,HOW DID EGW PAY HER HELPERS?,659
043-B-21,HARMON GENEALOGY EGW FAMILY TREE,660
043-B-22,HORACE SHAW'S DISSERTATION REGARDING EGW AS A SPEAKER,661
043-B-23,DID EGW DICTATE TO HER SECRETARIES?,662
043-B-24,EGW FUNERAL,663
043-B-25,TRAIN ACCIDENT. EGW AND HER WRITINGS,664
043-B-26,BIOGRAPHICAL NOORBERGEN BOOK,665
043-B-27,EGW WILL,666
043-C,EGW BOOKS AND ARTICLES,667
043-C-A,LIBRARY BOOKS,668
043-C-1,WORK OF LITERARY ASSISTANTS,669
043-C-2,"ASSISTANTS, LIST OF BOOK EDITORS",670
043-C-3,EARLY WRITINGS IDENTICAL WITH EXPERIENCE AND VIEW,671
043-C-4,"GREAT CONTROVERSY, HISTORICAL MATTER IN",672
043-C-4-A,"GREAT CONTROVERSY, TITLE OF",673
043-C-5,"GREAT CONTROVERSY, REVISION IN",674
043-C-5-A,GREAT CONTROVERSY--PYRAMID EDITION,675
043-C-5-A-1,INSPIRATION BOOKS--ARIZONA GROUP,676
043-C-6,"MB AND COL, MATERIAL FOR",677
043-C-7,SKETCHES FROM THE LIFE OF PAUL,678
043-C-9,"TESTIMONY TREASURES, WHY?",679
043-C-8,A SOLEMN APPEAL,680
043-C-10,VARYING PAGINGS IN DIFFERENT EDITIONS,681
043-C-ll,"""A WORD TO THE LITTLE FLOCK""",682
043-C-12,PATRIARCHS AND PROPHETS,683
043-C-13,INDEX--IS IT INCONSISTENT--PARABLE OF TALENT AND POUNDS?,684
043-C-16,MEDICAL MINISTRY,685
043-C-17,STEPS TO CHRIST,686
043-C-18,HOW TO LIVE,687
043-C-19,LANGUAGES EGW BOOKS HAVE BEEN TRANSLATED INTO?,688
043-C-20,HEALTHFUL LIVING,689
043-C-21,DESIRE OF AGES,690
043-C-22,"CHRIST OUR RIGHTEOUSNESS, DELETIONS IN",691
043-C-23,"SPIRIT OF PROPHECY, VOLS.1-4 EARLY PUBLICATION OF.",692
043-C-24,"""SUFFERINGS OF CHRIST"" PAMPHLET",693
043-C-25,LOMA LINDA MESSAGES,694
043-C-26,"GOSPEL WORKERS, DIFFERENCE IN 1892 AND 1915 EDITIONS",695
043-C-27,"REVIEW AND HERALD, EGW STATEMENT REGARDING",696
043-C-28,TESTIMONIES TO MINISTERS,697
043-C-29,"TESTIMONIES, HISTORY OF",698
043-C-29-A,"TESTIMONIES, 4 VOLUME SET WHEN FIRST PUBLISHED",699
043-C-30,"SPIRITUAL GIFTS, VOLS. 1-4",700
043-C-31,"""FULL MESSAGE"" BOOKS WHAT DOES THE PHRASE MEAN?",701
043-C-32,SABBATH READINGS FOR THE HOME CIRCLE,702
043-C-33,WHAT BOOKS HAVE BEEN RECALLED AND BURNED?,703
043-C-34,SDA BIBLE COMMENTARY-- QUESTIONS REGARDING,704
043-C-35,COLPORTEUR BOOKS ARE PRICED TOO HIGH,705
043-C-36,FUNDS FOR TRANSLATIONS OF EGW BOOKS OVERSEAS,706
043-C-37,ACTS OF THE APOSTLES,707
043-C-38,CHRISTIAN TEMPERANCE AND BIBLE HYGIENE,708
043-C-39,MINISTRY OF HEALING,709
043-C-40,THE SOUTHERN WORK,710
043-C-41,ARE REFERENCES AT BOTTOM OF PAGES OF EGW BOOKS INSPIRED?,711
043-C-42,HAVE TESTIMONIES BEEN CHANGED FROM ORIGINAL IN REPRINTING?,712
043-C-43,"GENERAL CONFERENCE BULLETINS, ARE THEY AVAILABLE?",713
043-C-44,PRINCIPLES OF TRUE SCIENCE,714
043-C-45,"PROPHETS AND KINGS, WRITING OF",715
043-C-46,LIFE AND TEACHINGS OF EGW,716
043-C-47,CHARACTER CLASSICS,717
043-C-48,COUNSELS TO WRITERS AND EDITORS,718
043-C-49,EGW BOOKS PUBLISHED POSTHUMOUSLY,719
043-C-50,SPALDING COLLECTION OF EGW MATERIALS,720
043-C-51,EDUCATION PUBLISHED IN SERBIA,721
043-C-52,"BOOKS, PAGING OF",722
043-C-53,"""CONFLICT SERIES"" PAPERBACK",723
043-C-53-A,"""CONFLICT SERIES"" CONDENSED",724
043-C-54,CHRIST'S OBJECT LESSONS--AS A RELIEF BOOK,725
043-C-55,SPIRIT OF PROPHECY BOOKS,726
043-C-56,LITERARY BORROWING OF EGW,727
043-C-57,"STEPS TO CHRIST, ADAPTED (STEPS TO JESUS)",728
043-D-1,COMPILATIONS BY UNAUTHORIZED PERSONS,729
043-D-2,"PRIVATE TESTIMONIES SENT ON REQUEST, SHOULD THEY BE?",730
043-D-3,ARE THE TESTIMONIES BEING REVISED?,731
043-D-4,"SPECIAL TESTIMONIES, WHY NOT REPRINTED?",732
043-D-5,IMPORTANT TESTIMONIES NOT BEING WITHHELD,733
043-D-5-A,BARNHOUSE STATEMENT ABOUT BOOKS LOCKED IN VAULT.,734
043-D-6,EGW WILL AND USE OF ROYALTIES,735
043-D-6-A,"ELLEN G. WHITE, DEBTS AT TIME OF HER DEATH",736
043-D-7,"COMPILATIONS, USE OF EGW STATEMENTS IN MAKING",737
043-D-8,PERMISSION TO USE EGW QUOTATIONS IN BOOK MANUSCRIPTS,738
043-D-9,"EGW COMPILATIONS, WHY NO CREDIT TO COMPILERS IN FORWARD",739
043-D-10,COPYRIGHT LAWS,740
043-E-1,ARE ALL EGW WRITINGS INSPIRED,741
043-E-3,VERBAL INSPIRATION,742
043-E-5,ELLEN WHITE AS A COUNSELOR,743
043-E-6,BEAUTY OF EGW WRITINGS,744
043-E-7,HOW DID EGW GET MESSAGE RE MEATLESS DIET?,745
043-E-8,WAS EGW CONSIDERED LAST WORD IN BIBLE INTERPRETATION?,746
043-E-10,NEW TESTAMENT DISCREPANCIES,747
043-F-1,DESTRUCTION OF ORIGINALS CHARGE OF WILLFUL,748
043-F-2,PRESENT WORKERS PRESERVE ORIGINAL LANGUAGE,749
043-F-3,WHY SO MUCH UNPUBLISHED,750
043-F-4,"SELECTED PORTIONS FOR PUBLICATION, EGW AND WCW",751
043-F-5,"MANUSCRIPTS, WHO CAN SEE AND USE?",752
043-F-6,"MANUSCRIPT 62, 1901, PROPER DATE OF",753
043-G-1,"BELIEF IN TESTIMONIES, A TEST?",754
043-G-2,CHANGE WITH CUSTOMS AND TIMES,755
043-G-3,RELATION TO BIBLE,756
043-G-4,EGW USE OF BIBLE VERSIONS,757
043-G-7,"WHAT DOES ""UNCOPIED LETTER"" MEAN?",758
043-H-1,"REVISIONS OF VOLUME, 1883",759
043-H-2,"GREAT CONTROVERSY, CHANGES IN EDITIONS",760
043-H-10,"""SPIRIT OF PROPHECY"" VOLUMES 1-4, WHY NOT REPRINTED?",761
043-I-1,"ENOUGH FOR ADVENT PEOPLE, DID EGW WRITE?",762
043-I-2,MISUSE OF APOCRYPHAL EARLY UTTERANCES,763
043-I-3,"MISUSE OF LETTER 68, 1894--ATTENTION CALLED TO VISIONS.",764
043-I-4,"PULPIT, USE IN THE",765
043-I-6,"""BLUEPRINT"" APPLIED TO EGW WRITINGS",766
043-J,VISIONS OF EGW,767
043-J-1,LAST VISION,768
043-J-2,"FIRST VISION, DATE OF",769
043-J-3,HOW MANY VISIONS WERE GIVEN TO EGW?,770
043-J-4,CHARGE THAT EGW HAD NO VISIONS AFTER MENOPAUSE,771
043-J-5,"VISION OF JANUARY 3, 1875",772
043-J-6,EGW HOLDING BIG BIBLE IN VISION,773
043-J-7,EGW VISIONS ATTRIBUTED TO MENTAL ILLNESS,774
043-J-8,"EGW'S GRAMMAR, ETC. IN VISION",775
043-J-9,EGW'S DREAMS PRIOR TO 1844,776
043-K,POLICY CHANGES IN PUBLISHING WORK AT PACIFIC PRESS,777
043-K-1,"CME CRISIS, 1915 FALL COUNCIL A. V. OLSON",778
043-K-2,"""A GOOD PLACE TO LIVE"" A. W. CORMACK",779
043-K-3,EGW INSTRUCTION TO WCW FAMILY,780
043-K-4,WILLARD SAXBY EXPERIENCE,781
043-K-5,"H. M. BLUNDEN STORY, EGW POINTED AT MAN SEEN IN VISION",782
043-K-6,"MARY PRYCE-GANES, HEALED BY CHARCOAL",783
043-K-7,STORIES OF SACRIFICE OF EARLY PIONEERS,784
