Title,Year,Pages,Notes,id
Last Day Events.,1992,330 p.,"NOTE: compilation; subtitled, Facing Earth's Final Crisis.",264
Lessons From The Life Of Nehemiah.,1989?,61 p.,NOTE: Reprint of 19 articles from the 1904 Southern Watchman.,265
Lessons Jesus Taught.,1984,,NOTE: edition of Christ's Object Lessons.,266
Let Him That Thinketh He Standeth Take Heed Lest He Fall.,,,"SEE Special Testimony To Battle Creek Church, 1896.",267
Letter To Dr. Paulson From Ellen G. White.,1906,7 p.,"NOTE: from Selected Messages, Bk. 1, pp. 24-28.",268
Letters From Ellen G. White To Sanitarium Workers.,1911,23 p.,"NOTE: Special Testimonies, Series B, no. 15; ""an appeal to workers in the sanitariums to raise the standard by purifying their lives from all cheapness of character and carelessness of conduct.""",269
Letters From Ellen G. White To Sanitarium Workers In Southern California With Answers And Descriptions Of Sanitarium Properties.,1905,24 p.,"NOTE: Special Testimonies, Series B, no. 3, 2nd ed.; title differs from 1st ed. (Letters To Sanitarium Workers In Southern California); introduction is the same as the 1st ed; includes material written by others.",270
Letters From Ellen G. White To Sanitarium Workers In Southern California With Answers And Descriptions Of Sanitarium Properties.,1905,47 p.,"NOTE: Special Testimonies, Series B, no. 3, 3rd ed.; title page and introduction are the same as the 2nd ed.; new material is added.",271
Letters To Physicians And Ministers.,1903,32 p.,"NOTE: Special Testimonies, Series B, no. 1.",272
Letters To Physicians And Ministers.,1904,59 p.,"NOTE: Special Testimonies, Series B, no. 2, 2nd ed. (pub. by Review and Herald); 1st ed. (pub. for author) entitled: Testimonies For The Church Containing Letters To Physicians And Ministers: Giving Messages Of Warning And Words Of Counsel And Admonition Regarding Our Present Situation.",273
Letters To Sanitarium Workers In Southern Calif.,1905,24 p.,"NOTE: Special Testimonies, Series B, no.3.",274
Letters To Young Lovers.,1983,94 p.,NOTE: compilation with commentary.,275
Life And Teachings Of Ellen G. White.,,,SEE Brief Sketch Of The Life And Teachings Of Ellen G. White.,276
Life At Its Best.,1964,314 p.,NOTE: abridged from The Ministry Of Healing.,277
Life Of Christ And His Apostles.,,,SEE Redemption.,278
"Life Sketches, Ancestry, Early Life, Christian Experience, And Extensive Labors Of Elder James White And His Wife, Mrs. Ellen G. White.",1880,416 p.,"NOTE: 200 p. by Ellen G. White; a republishing of part of Spiritual Gifts, v. 2; reprinted in 1888 with new material after James White's death, entitled Life Sketches Of James and Ellen White.",279
Life Sketches Of Ellen G. White.,1915,480 p.,"NOTE: compilation drawn from: Spiritual Gifts, v. 2, Testimonies For The Church, v. 1, and Life Sketches, Ancestry, Early Life, Christian Experience, And Extensive Labors Of Elder James White And His Wife, Mrs. Ellen G. White.",280
Life Sketches Of James And Ellen White.,,,"SEE Life Sketches, Ancestry, Early Life. . .",281
Life Work.,,16 p.,"NOTE: from Education, pp. 262-271; (Missionary Volunteer Series, no. 23).",282
Lift Him Up.,1988,382 p.,NOTE: devotional book.,283
Lines Of Mission Work.,1897,,"NOTE: Special Testimonies, Series A, no. 10.",284
Lion On The Loose.,1989,80 p.,"NOTE: excerpted from Here To Forever, a condensed version of The Great Controversy.",285
Liquor Traffic Working Counter To Christ.,,8 p.,,286
Literal Week.,,,"NOTE: chapter from Patriarchs And Prophets, pp. 111-116; E. J. Waggoner's name given as author; (Apples of Gold Library, no. 18).",287
Literary Gems From The Spirit Of Prophecy.,,1 v.,NOTE: selected from Ellen White's writings by the General Conference Dept. of Education.,288
Lives Of Great Men.,,16 p.,"NOTE: from Education, pp. 51-70; (Missionary Volunteer Series, no. 49).",289
Living By Principle.,1898,48 p.,"NOTE: ""selections compiled from the writings of Mrs. E. G. White.""",290
Living For Real.,1971,96 p.,"NOTE: original title, Sanctified Life.",291
Living God's Way.,1947,,NOTE: selected from Ministry Of Healing.,292
Loma Linda Messages.,,,"NOTE: ""compilation of testimonies regarding establishment and work of the sanitarium and medical school at Loma Linda.""",293
Loma Linda's Work.,,16 p.,"NOTE: ""quotations from Special Testimonies To Loma Linda""; (Medical Evangelistic Library, no. 1).",294
Lord Has A Controversy With His People.,1895,,"NOTE: Special Testimonies, Series A, no. 9.",295
Lord Is Risen.,1952,96 p.,NOTE: selected from The Desire Of Ages.,296
Lord's Tenth.,,,NOTE: selections from other published sources; subtitled: As Taught In The Bible And The Writings Of Ellen G. White With Suggestions For Computing The Tithe.,297
Love Is Above.,,,SEE Steps To Christ.,298
Love Unlimited.,1958,282 p.,NOTE: combines Steps To Christ and Thoughts From The Mount Of Blessing.,299
Madison School.,1908,32 p.,"NOTE: Special Testimonies, Series B, no. 11; ""an appeal for encouragement and aid to be given to the burden-bearers in the Nashville Agriculture and Normal Institute at Madison, Tennessee.""",300
"Malachi, The Lord's Messenger.",1905?,35 p.,"NOTE: series of articles published in The Watchman, January 3 - April 11.",301
Man Of Destiny.,1981,734 p.,NOTE: edition of The Desire Of Ages.,302
Manner Of Conducting Campmeetings.,,,SEE Spiritual Advancement The Object Of Campmeetings.,303
Manner Of Laboring.,1894,,"NOTE: Special Testimonies, Series A, no. 3.",304
Manual For Canvassers.,1902,78 p.,"NOTE: compilation ""under the direction of the author"" from Testimonies For The Church and other sources; enlarged and rearranged in 1920 with the title, Colporteur Evangelist.",305
Manuscript Releases.,1981-1993,v. 1-21.,,306
"Maranatha, The Lord is Coming.",1976,383 p.,NOTE: devotional book.,307
Master's Immortal Sermon.,1971,96 p.,NOTE: selected from Thoughts From The Mount Of Blessing.,308
Medical Ministry.,1932,348 p.,"NOTE: compilation; subtitled, A Treatise On Medical Missionary Work; manuscript version entitled Health And Healing: A Treatise On Medical Missionary Work In The Gospel, 5 volumes in 1, 193-?",309
Medical Practice And The Educational Program At Loma Linda.,1953,2 v.,NOTE: compilation; includes comments from denominational leaders as well as committee actions.,310
Medical Science And The Spirit Of Prophecy.,1966?,31 p.,,311
The Message And Health Reform.,,4 p.,"NOTE: from Testimonies For The Church, volumes 6 and 9.",312
Message From Calvary.,1981,64 p.,NOTE: four chapters from The Desire Of Ages.,313
Message To Our Physicians.,1905,16 p.,"NOTE: Special Testimonies, Series A, no. 12 and Series B, no. 7.",314
Messages To Young People.,,10 p.,"NOTE: compilation; (Missionary Volunteer Series, no. 19).",315
Messages To Young People.,1930,499 p.,"NOTE: compilation, mostly from articles in the Youth's Instructor.",316
Messiah Of Prophecy.,1890,63 p.,"NOTE: selected chapters from The Desire Of Ages; (20th Century Library Souvenir, 5) on some covers.",317
Methods Of Labor.,1874,,"NOTE: Special Testimonies, Series A, no. 7.",318
"Mind, Character, And Personality.",1977,2 v.,"NOTE: compilation; previous edition, 1966, entitled, Guidelines To Mental Health.",319
Ministers And Business Matters.,1896,,"NOTE: Special Testimonies, Series A, no. 9.",320
The Ministry Of Healing.,1905,541 p.,NOTE: replaced Christian Temperance And Bible Hygiene.,321
Ministry Of Peter And The Conversion Of Saul.,1878,78 pp.,"NOTE: subtitle of Redemption, no. 7.",322
Miracles Of Christ The Mighty One.,1877,126 p.,"NOTE: subtitle of Redemption, no. 3.",323
Missionary Work At Home And Abroad.,,,"SEE Special Testimony To Battle Creek Church, 1896.",324
Missionary Work By Correspondence.,,16 p.,"NOTE: first 5 pages by Ellen G. White; concerns Signs Of The Times; articles from Advent Review and Sabbath Herald, December 12, 19, 1878 and January 2, 1879.",325
Morning Talks.,,,SEE Gospel Workers.,326
"Morning Talks To The Ministers Assembled At The General Conference, Battle Creek, Michigan, November 1883.",,,SEE Gospel Workers.,327
Mount Of Blessing.,,,SEE Thoughts From The Mount Of Blessing.,328
"My Christian Experience, Views, And Labors In Connection With The Rise And Progress Of The Third Angels Message.",1860,304 p.,"NOTE: title of Spiritual Gifts, v. 2.",329
My Life Today.,1952,377 p.,NOTE: devotional book.,330
Nashville Sanitarium.,1912,36 p.,"NOTE: Special Testimonies, Series B, no. 18; ""extracts from letters and articles on sanitarium work at Nashville, Tennessee.""",331
Need Of Divine Guidance.,1888,,"NOTE: Special Testimonies, Series A, no. 6.",332
Need Of Divine Power And Wisdom.,1892,,"NOTE: Special Testimonies, Series A, no. 2 ; also no. 2, 2nd ed.",333
Need Of Spiritual Discernment.,1891,,"NOTE: Special Testimonies, Series A, no. 6.",334
New England Sanitarium.,1908,16 p.,"NOTE: Special Testimonies, Series B, no. 13; ""a review of the providences connected with the establishment of the sanitarium at Melrose, Massachusetts, near Boston.""",335
New Life.,,,SEE Revival And Beyond.,336
"North Pacific Union Gleaner Articles, 1906-1915.",1986,137 p.,NOTE: published by Telaref Bks.,337
Notebook Leaflets.,192-?,45 leaflets.,"NOTE: originally published by the Elmshaven Library in the 1920s, 43 of the leaflets consist of selections from Ellen White's writings on specific subjects and are organized under five topical sections; 44 of the leaflets were republished in 1945 by the Review and Herald.",338
Notes On Health And Temperance Topics.,,19 p.,,339
Oakwood Manual Training School.,1908,16 p.,"NOTE: Special Testimonies, Series B, no. 12; ""an appeal for encouragement and financial aid.""",340
Observance Of The Sabbath.,1895,,"NOTE: Special Testimonies, Series A, no. 3.",341
"The $150,000 Fund.",1906,32 p.,,342
Open Letter.,1902,8 p.,"NOTE: articles from Advent Review and Sabbath Herald, January 20, 27, 1903.",343
Our Camp-meetings.,,,SEE Spiritual Advancement The Object Of Camp Meetings.,344
Our College.,,,SEE Testimony For The Battle Creek Church.,345
Our Duty To The Colored People.,1891,16 p.,"NOTE: also in The Southern Work and Special Testimonies, Series A, no. 1, 2nd ed.",346
Our Duty Toward The Lords Institution.,,4 p.,"NOTE: article from Advent Review and Sabbath Herald, August 4, 1903.",347
Our Educational Work.,1895,39 p.,"NOTE: from Fundamentals Of Christian Education, pp. 334-367.",348
Our Father Cares.,1991,350 p.,NOTE: devotional book.,349
Our First Work.,1904,8 p.,NOTE: at head of title: I Will Guide Thee.,350
Our High Calling.,1961,380 p.,NOTE: devotional book.,351
"Our Work In Washington, The Present Situation And Immediate Needs.",1905,48 p.,NOTE: contains short articles by Ellen G. White.,352
Ownership And Control Of The Madison School.,1914,20 p.,"NOTE: from other published sources; contains quotes by Ellen White about the school, but rest of pamphlet is written by others.",353
Pacific Union Recorder Articles.,,,SEE Ellen G. White Pacific Union Recorder Articles.,354
Pamphlets In The Concordance.,1983,3 v.,NOTE: gives titles of individual pamphlets which are indexed in this bibliography.,355
Parable Of The Rich Man And Lazarus.,,13 p.,"NOTE: from Christ's Object Lessons, pp. 260-271; (Bible Students' Library, no.146).",356
Parables Of Jesus.,1983,64 p.,NOTE: abridged from Christ's Object Lessons.,357
Paradise Valley Sanitarium.,1909,16 p.,"NOTE: Special Testimonies, Series B, no. 14; ""a record of providences that led to its purchase and timely instruction regarding the importance of its work.""",358
Pastoral Ministry.,1995,287 p.,NOTE: compilation.,359
Pathways To Health And Happiness: Simple Steps To A Vibrant Life.,1990,175 p.,NOTE: edition of Ministry Of Healing; published by Family Heritage Books and printed by Pacific Press.,360
Patriarchs And Prophets.,,,SEE The Story Of Patriarchs and Prophets.,361
Peace Above The Storm.,1994,111 p.,NOTE: edition of Steps To Christ; published by Family Heritage Books and printed by Pacific Press.,362
Peril Of Worldliness In Education.,,6 p.,"NOTE: from other published sources; (Educational Leaflet, no. 21).",363
"Perils Increase Till Jesus Comes, A Solemn Warning.",1903,4 p.,,364
Periodical Resource Collection.,,,SEE Ellen G. White Periodical Resource Collection.,365
Personal Devotion Sadly Neglected.,,,"NOTE: Special Testimonies, Series A, no. 1; also no. 1, 2nd ed.",366
Peter's Council To Parents.,1981,63 p.,NOTE: compilation.,367
The Place Of Herbs In Rational Therapy.,1931,32 p.,,368
Plan Of Salvation.,,8 p.,"NOTE: articles from Signs of the Times, February 13, 20, 27, 1893.",369
Positive Christian Living.,,,SEE Short Stories For Positive Christian Living.,370
Power Of The Holy Spirit Awaits Our Demand and Reception.,1891,,"NOTE: Special Testimonies, Series A, no. 2; also no. 2, 2nd ed.",371
Practical Instruction.,1896,,"NOTE: Special Testimonies, Series A, no. 7.",372
Pray For The Latter Rain.,,8 p.,"NOTE: article from Advent Review and Sabbath Herald, March 2, 1897; also chapter in Testimonies to Ministers, pp. 506-512.",373
Prayer For The Sick [book].,,,SEE Guiding Principles In Prayer For The Sick.,374
Prayer For The Sick [pamphlet].,,,SEE Spiritual Advancement The Object Of Camp Meetings.,375
Preciousness Of Christ To His Followers.,1896,,"NOTE: Special Testimonies, Series A, no. 9.",376
Present Need.,1905,,"NOTE: Special Testimonies, Series A, no. 12.",377
Present Truth And Review And Herald Articles.,,,SEE Ellen G. White Present Truth And Review and Herald Articles.,378
Principles Of True Science.,1900,,NOTE: (True Education Series).,379
Principles Of True Science.,1928,720 p.,NOTE: compilation prepared as a teaching aid by M. E. Cady.,380
Privilege Of Prayer.,1894,16 p.,"NOTE: articles from Bible Echo, February 1, March 1, 1893; (Bible Students' Library, no.125).",381
Proclaiming The Truth Where There Is Race Antagonism.,1908,12 p.,"NOTE: from Testimonies for the Church, v. 9, pp. 204-212.",382
Progress Of Work At Loma Linda.,c1912,48 p.,"NOTE: portions by Ellen G. White; (Medical Evangelistic Library, no. 6).",383
Promises For The Last Days.,1994,155 p.,NOTE: compilation.,384
Proper Education.,1895,,"NOTE: Special Testimonies, Series A, no. 4.",385
Proper Methods Of Work In The Southern Field.,1895,10 p.,"NOTE: Special Testimonies, Series A, no. 6.",386
Prophet Without Honor.,1984,408 p.,NOTE: selected from The Desire Of Ages.,387
Prophets And Kings.,,,SEE Story Of Prophets And Kings.,388
Publishing Ministry.,1983,430 p.,,389
Purchase Of Land At Loma Linda And Letters From Mrs. E.G. White.,1912,24 p.,"NOTE: Special Testimonies Series B, no. 17A, 1st ed.",390
Purchase Of Land At Loma Linda And Letters From Mrs. E. G. White.,1912,24 p.,"NOTE: Special Testimonies Series B, no. 17A, 2nd ed.; portions by Ellen G. White with additional statements from March 28, 1912 address not found in Series B, no. 17A, 1st ed.",391
Purpose And Objectives Of Seventh-day Adventist Institutions.,1969,83 p.,,392
The Quote Book: Gems From The Pen Of Ellen G. White.,1994-,v.,NOTE: compilation.,393
Radiant Religion.,1946,271 p.,NOTE: devotional book.,394
"Read For Yourselves, On The Vital Importance Of Establishing And Patronizing Our Own Schools.",,,"NOTE: from other published sources; (Educational Leaflet, no. 19).",395
Real Happiness Is.,,127 p.,"NOTE: edition of Steps To Christ; subtitled, A Guide To Discovery For The Young Who Love Life.",396
Reasons For Inefficiency And The Remedy.,1892,,"NOTE: Special Testimonies, Series A, no. 2; also no. 2, 2nd ed.",397
Receiving Gifts.,1895,,"NOTE: Special Testimonies, Series A, no. 3.",398
Record Of Progress And An Earnest Appeal In Behalf Of The Boulder-Colorado Sanitarium.,1905,78 p.,"NOTE: Special Testimonies, Series B, no. 5.",399
Record Of Progress And An Earnest Appeal In Behalf Of The Boulder-Colorado Sanitarium.,1905,78 p.,"NOTE: Special Testimonies Series B, no. 5, 2nd ed.; pp. 31-56 vary in a 2nd edition; ""with Testimonies to the church read at Denver (Colorado) camp-meeting held August 17-27, 1905.""",400
Reflecting Christ.,1985,382 p.,NOTE: devotional book.,401
Reform Needed.,1902,4 p.,"NOTE: article from Advent Review and Sabbath Herald, May 27, 1902.",402
Relation Of Health Institutions To The Cause.,,54 p.,,403
Relief Of The Schools: an Appeal.,1900,23 p.,,404
Relief Of The Schools: Rolling Back The Reproach.,1900,30 p.,NOTE: written by Relief Of the Schools Committee to promote sales of Christ's Object Lessons with quotes from works of Ellen G. White.,405
Religious Liberty Threatened.,1965,76 p.,NOTE: selected from The Great Controversy.,406
Remnant Church.,1950,72 p.,NOTE: compilation largely from Testimonies To Ministers.,407
Remnant Church Not Babylon.,1917?,32 p.,NOTE: included in Testimonies To Ministers and Remnant Church.,408
Removal To Washington.,1903,32 p.,NOTE: includes Ellen G. White material.,409
Report Of Special Meeting.,1898,52 p.,,410
Responsibility Of A Connection With God's Work.,1896,,"NOTE: Special Testimonies, Series A, no. 6.",411
Responsibility Of Parents.,1894,8 p.,"NOTE: article from Signs Of The Times, March 11, 1886; (Apples of Gold Library, no. 13).",412
Resurrection Of Christ And His Ascension.,1877,80 p.,"NOTE: subtitle of Redemption, no. 6.",413
Retirement Years.,1990,240 p.,NOTE: compilation.,414
Return To The First Love.,1892,,"NOTE: Special Testimonies, Series A, no. 2, first and second edition.",415
Review And Herald Articles.,,,SEE Ellen G. White Present Truth and Review And Herald Articles.,416
Revival And Beyond.,1972,64 p.,NOTE: compilation.,417
Rolling Back The Reproach.,,,SEE Relief Of the Schools: Rolling Back The Reproach.,418
Sanctified Life.,,,SEE Bible Sanctification.,419
Sanitarium Must Not Be Cramped.,1907,4 p.,,420
Sanitarium Patients At Goguac Lake; The Address Of Mrs. White; The New Sanitarium Buildings.,1878,27 p.,,421
The Second Tithe: A Systematic Offering For The Sydney Sanitarium.,1901,14 p.,,422
Secrets Of Child Training.,1983,62 p.,NOTE: abridged from Child Guidance.,423
Selected Messages.,1958-80,3 v.,,424
Selection Of Articles For Our Paper.,1899,6 p.,,425
Selections From Testimonies To The Managers And Workers In Our Institutions.,1923,78 p.,,426
Selections From The Testimonies.,1898,40 p.,,427
Selections From The Testimonies.,1936,3 v.,"NOTE: selected from Testimonies For The Church, volumes 1-9; replaced by Testimony Treasures.",428
Selections From The Testimonies Bearing On Sabbath School Work.,,,SEE Testimonies On Sabbath School Work.,429
Selections From The Testimonies Concerning The Subject Of Education.,1886,,NOTE: first book published on this subject; from Testimonies For The Church.,430
Selections From The Testimonies For Students And Workers Of Our Sanitariums.,1911,20 p.,"NOTE: Special Testimonies, Series B, no. 16.",431
Selections From The Testimonies For The Church.,1903,95 p.,"NOTE: subtitled For The Study Of Those Attending The General Conference In Oakland, Calif., March 27, 1903.",432
"Selections From The Testimonies Setting Forth Important Principles Relating To Our Work In General, The Publishing Work In Particular, And The Relation Of Our Institutions To Each Other.",1898,40 p.,,433
Selections From The Testimonies Showing What The Lord Requires Of The Persons Who Are Connected With The Publishing Work.,1884,32 p.,NOTE: from other published sources.,434
"Selections From The Unpublished Writings Relative To Health, Philanthropic, And Medical Missionary Work.",c1896,55 p.,,435
Self-denial And Support Of The Ministry.,1897,,"NOTE: Special Testimonies, Series A, no. 10.",436
Separation From The World.,,4 p.,"NOTE: from Testimonies For The Church, v. 6, pp. 194-197; (Educational Series, no. 3).",437
Separation From The World In Education.,,16 p.,NOTE: compilation.,438
"Sept. 24, (1895).",,,"NOTE: Special Testimonies, Series A, no. 9.",439
Series A.,,,SEE Special Testimonies To Ministers And Workers. Series A.,440
Series B.,,,SEE Special Testimonies. Series B.,441
Sermons And Talks.,1990-,v. 1-.,NOTE: compilation of Ellen White sermons mostly taken from previously unpublished manuscripts.,442
"Seventh-day Adventist Bible Commentary, vol. 7A.",1970,692 p.,"NOTE: includes all the E. G. White quotations included as supplementary material in the seven volumes of the SDA Bible Commentary plus the E. G. White statements in Questions On Doctrine on Christ's nature, the Trinity, and the atonement.",443
Short Stories For Positive Christian Living.,1952,384 p.,NOTE: edition of Christ's Object Lessons.,444
Should Christians Attend Mixed Bathing Resorts And Engage In Worldly Amusements And Recreations?,1929,20 p.,NOTE: from other published sources.,445
Should Christians Be Members Of Secret Societies.,1893,24 p.,"NOTE: also in Selected Messages, Bk. 2, pp. 121-139; (Bible Students' Library, no. 103).",446
Sign The Pledge.,1887,2 p.,"NOTE: from Counsels on Health, pp. 441, 442.",447
Signs Of The Times Articles.,,,SEE Ellen G. White Signs Of The Times Articles.,448
Sin Of Licentiousness.,,44 p.,"NOTE: in Testimonies For The Church, v. 2; also Testimonies To Ministers, pp. 426-456.",449
The Sinner's Need Of Christ.,,8 p.,NOTE: from Steps To Christ.,450
A Sketch Of The Christian Experience And Views Of Ellen G. White.,1851,62 p.,NOTE: reprint of articles from Present Truth and broadsides; supplement issued in 1854 under title Supplement To The Christian Experience And Views Of Ellen G. White; reprinted as a 2nd ed. in 1882 as A Sketch Of The Experience and Views Of Mrs. E. G. White with supplement; included as the first part of Early Writings.,451
A Sketch Of The Experience And Views of Mrs. E. G. White.,,,SEE A Sketch Of The Christian Experience And Views Of Ellen G. White.,452
"Sketches From The Life Of Christ, And The Experience Of The Christian Church.",1882,154p.,"NOTE: reprinting of Spiritual Gifts, v. 1; (Bible Student's Library, no. 45).",453
Sketches From The Life Of Paul.,1883,334 p.,NOTE: replaced by The Acts Of The Apostles.,454
Solemn Admonitions.,1897,,"NOTE: Special Testimonies, Series A, no. 11.",455
Solemn Appeal.,,,SEE Solemn Appeal Relative To Solitary...,456
Solemn Appeal Relative To Solitary Vice And Abuses And Excesses Of The Marriage Relation.,1870,272 p.,NOTE: 5 articles by Ellen G. White sometimes separately published as A Solemn Appeal.,457
Solemn Times.,1895,,"NOTE: Special Testimonies, Series A, no. 3.",458
Solemn Warning.,1905,,"NOTE: Special Testimonies, Series A, no. 12 and Series B, no. 7.",459
Sons And Daughters Of God.,1955,383 p.,NOTE: devotional book.,460
Southern Work.,1898,96 p.,"NOTE: nine Advent Review and Sabbath Herald articles from 1895-96 with letters from 1895-98 to Southern workers; later printing, ca. 1900, of 147 p.",461
Sowing Beside All Waters.,1912,80 p.,"NOTE: ""selected from the manuscripts and published writings of Mrs. Ellen G. White""; subtitled An Appeal For Setting In Operation All The Working Agencies In The Church.",462
Sowing Beside All Waters.,,,"NOTE: Special Testimonies, Series A, no. 10; differs from preceding pamphlet with the same name.",463
Special Instruction Regarding Royalties.,1899,22 p.,,464
Special Instruction Relating To The Review And Herald Office And The Work In Battle Creek.,1896,51 p.,,465
Special On Tithing.,,20 p.,,466
Special Testimonies Concerning The Work And Workers In The Pacific Press.,1897,51 p.,,467
"Special Testimonies For Ministers And Workers, no. 4.",1895,25 p.,"NOTE: Special Testimonies, Series A, no. 4; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Avondale, Cooranbong, N.S.W., Australia, Sept. 1, 1895; Avondale, Cooranbong, N.S.W., Australia, Aug. 28, 1895; Proper Education, 1895; Granville, N.S.W., Australia, Sept. 13, 1895.",468
"Special Testimonies For Ministers And Workers, no. 5.",1896,20 p.,"NOTE: Special Testimonies, Series A, no. 5; preliminary pages signed by O. A. Olsen; the following sections from Ellen G. Whiteэs writings are titled: The Character Of Our Work; Proper Methods In Labor; Correct Principles; Our Duty To Extend The Work; The Evil Of Long Sermons; The Manifest Working Of The Holy Spirit At Battle Creek College; Knowing God; Qualifications Essential For The Work Of God.",469
"Special Testimonies For Ministers And Workers, no. 6.",1896,67 p.,"NOTE: Special Testimonies, Series A, no. 6; preliminary pages signed by O. A. Olsen; includes the following from Ellen G. White's writings: Need Of Spiritual Discernment, 1891; To Brethren Who Occupy Responsible Positions In The Work, 1896; Responsibility Of A Connection With God's Work, 1896; Proper Methods Of Work In The Southern Field, 1895; Need Of Divine Guidance, 1888; Important Principles, 1885; Danger Of Undue Personal Responsibilities, 1886.",470
"Special Testimonies For Ministers And Workers, no. 7.",1897,64 p.,"NOTE: Special Testimonies, Series A, no. 7; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Methods Of Labor, 1874; A Faithful Tithe, 1896; The True Higher Education, 1896; Importance Of The Right Example On The Part Of Laborers, 1896; Practical Instruction, 1896; Extracts From Recent Communications.",471
"Special Testimonies For Ministers And Workers, no. 8.",1897,32 p.,"NOTE: Special Testimonies, Series A, no. 8; preliminary page signed by O. A. Olsen; includes the following from Ellen G. White's writings: Individual Responsibility, 1896; The General Conference, 1896; Conference Officers, 1896.",472
"Special Testimonies For Ministers And Workers, no. 9.",1897,80 p.,"NOTE: Special Testimonies, Series A, no. 9; preliminary pages signed by General Conference Committee; includes the following from Ellen G. White's writings: All Ye Brethren, 1895; Thou Shalt Have No Other Gods Before Me, 1895; Sept. 24, (1895); God To Be Inquired Of, 1896; The Lord Has A Controversy With His People, 1895; Give Me Thine Heart, 1896; Ministers And Business Matters, 1896; God's Claims On His Stewards, 1896; The Preciousness Of Christ To His Followers, 1896.",473
"Special Testimonies For Ministers And Workers, no. 10.",1897,39 p.,"NOTE: Special Testimonies, Series A, no. 10; preliminary page signed by [General Conference] Committee; includes the following from Ellen G. White's writings: Lines Of Mission Work, 1897; Sowing Beside All Waters; Self-denial And Support Of The Ministry, 1897; Holy Spirit Versus Selfishness, 1896; Extracts From A Recent Communication.",474
"Special Testimonies For Ministers And Workers, no. 11.",1898,32 p.,"NOTE: Special Testimonies, Series A, no. 11; preliminary page signed by [General Conference] Committee; includes the following from Ellen G. White's writings: God's Messengers, 1897; Appeal To Ministers, 1898; Special Testimony To Brethren In Battle Creek, 1898; Solemn Admonitions, 1897.",475
Special Testimonies On Church Schools.,1898,44 p.,"NOTE: cover title: Home, Church, And State Schools, with an announcement of the Union College Normal and Commercial courses.",476
Special Testimonies On Education.,1897,240 p.,"NOTE: reprinted in Counsels To Teachers, Parents, And Students and Fundamentals Of Christian Education.",477
Special Testimonies Relating To Medical Missionary Work.,1893,8 p.,,478
Special Testimonies Relating To Various Matters In Battle Creek.,1894,24 p.,"NOTE: includes Second Letter, Extract From Other Letters, Admonition And Caution, and An Extract.",479
Special Testimonies. Series A.,,,"SEE Special Testimonies To Ministers And Workers, Series A.",480
Special Testimonies. Series B.,1903-1913,750 p.,NOTE: 19 pamphlets varying in size issued to meet special situations.,481
Special Testimonies To Ministers And Workers. Series A.,1892-1905,12 v.,NOTE: 11 pamphlets of special messages from Mrs. White to president of General Conference; called Series A after issuance of Series B; no. 12 is unrelated to the others; later reprinted in Testimonies To Ministers and Gospel Workers.,482
"Special Testimonies To Minister And Workers, no. 3.",1895,62 p.,"NOTE: Special Testimonies, Series A, no. 3; preliminary pages signed by O. A. Olsen; includes the following from Ellen G. White's writings: Economy to Be Practiced In All Things, 1892; Improvement In the Work, 1894; Idleness, 1894; The Spirit Of Jesus, 1894; Manner Of Laboring, 1894; Christian Courtesy, 1895; Receiving Gifts, 1895; Solemn Times, 1895; Activity In Our Churches, 1895; Direct Dependence On God, 1895; Observance Of The Sabbath, 1895; Important Instruction, 1894.",483
"Special Testimony For Our Ministers, no. 1.",1892,40 p.,"NOTE: Special Testimonies, Series A, no. 1; includes the following from Ellen G. White's writings: To Brethren In Responsible Positions, 1890; Existing Evils And Their Remedy, 1890; Personal Devotion Sadly Neglected; The Work of Faith; The Crisis Imminent, 1892.",484
"Special Testimony For Our Ministers, no. 1, 2nd ed.",,70 p.,"NOTE: Special Testimonies, Series A, no. 1, 2nd ed.; bound with no. 2, 2nd. ed., 146 p., with an index plus Our Duty To The Colored People; includes the following from Ellen G. White's writings: To Brethren In Responsible Positions, 1890; Existing Evils And Their Remedy, 1890; Personal Devotion Sadly Neglected; The Work Of Faith; The Crisis Imminent, 1892.",485
Special Testimony For The Battle Creek Church.,1869,32 p.,,486
"Special Testimony On Canvassing For ""Christ's Object Lessons.""",,7 p.,,487
Special Testimony Relating To Politics.,1899,12 p.,"NOTE: included in Fundamentals Of Christian Education, pp. 475-484.",488
Special Testimony Relative To Tract And Missionary Societies And Our Preachers.,1881?,28p.,,489
Special Testimony To Battle Creek Church.,1896,64 p.,"NOTE: includes, Will A Man Rob God?; Danger Of Rejecting Truth, 1896; A Truthful Message, 1895; Let Him That Thinketh He Standeth Take Heed Lest He Fall; Extracts from a communication entitled 'Missionary Work At Home And Abroad', 1895 (recopied 1896); [Foreword] by O. A. Olsen; included in Testimonies To Ministers and Testimonies For The Church, v. 8..",490
Special Testimony To Battle Creek Church.,1897,10 p.,NOTE: subtitled: Will A Man Rob God?,491
Special Testimony To Battle Creek Church.,1898,48 p.,"NOTE: includes: Forgetfulness, 1897; True Education In Our Churches, 1898; Church Schools, 1897.",492
Special Testimony To Brethren In Battle Creek.,,,SEE Special Testimony To The Brethren In Battle Creek.,493
