"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
"Bickersteth, Edward","Scripture Helps to Assist in Reading the Bible","Richmond: A. Works",1828,,"A",,,,410
"Bickersteth, Edward","Yesterday, Today, and For Ever: A Poem in Twelve Books","NY: R. Carter and Bros.",1872,"441 pp.","(B)","WE, AU","MOA",,411
"Bickersteth, Robert, et al.","Twelve Lent Lectures on ""The Signs of the Times"" For the Year 1858","London: J. Mills Robeson, Glasshouse Yard",1858,"119 pp.","(B)","WE, Cambr.",,,412
"Black, F.G.","Lectures and Sermons, Embracing the Sovereignty, Holiness, Wisdom and Benevolence of God","Cincin.: H.S. & J. Appleton & Co.",1851,"240 pp.","A","LC, United Libr.",,,413
"Black, Israel P.","Practical Primary Plans for Primary Teachers of the Sunday- school","NY, Chicago: Fleming H. Revell Co.","1897, 1903","264 pp.","C","LC",,,414
"Blackley, William L.","The Critical English Testament - see Bengel, Johann.",,,,,,,,415
"Blackmore, William","Colorado; Its Resources, Parks, and Prospects as a New Field for Evangelism","London: Ranken & Co.",1869,"217 pp.","A","NYPL",,,416
"Blackstone, William","Commentaries on the Laws of England","NY: Harper and Bros.",1858,"4 vols.","C","AU, LSU (Micro.)","Goo,Arch","(1st publ. 1765-69)",417
"Blaikie, William G.","Heroes of Israel","London: T. Nelson and Sons",1894,"480 pp.","C",,"Arch",,418
"Blakely, William A.","American State Papers Bearing on Sunday Legislation","NY: National Religious Lib. Assoc.",1891,"368 pp.","C","SDA, WE",,,419
"Blakely, William A.","American State Papers Bearing on Sunday Legislation","Washington, D.C.: Religious Lib. Assoc.",1911,"800 pp.","C","SDA, WE",,,420
"Blakeney, R.P. (transl.)","Saint Alphonsus Liguori - see Liguori, Alfonso",,,,,,,,421
"Blanc, Alexandre Charles","L'Art dans la Parure et dans le Vetement","Paris: Librarie Renouard",1882,"320 pp.","B","UCLA","Goo",,422
"Bliss, Sylvester","A Brief Commentary on the Apocalypse","Boston: J.V. Himes",1853,"384 pp.","B","WE, AU, LLU","Goo,DBI",,423
"Bliss, Sylvester","Analysis of Sacred Chronology, rev. by A.T. Jones","Oakland, Cal.: Pacific Press",1887,"298 pp.","B","WE, AU, LLU",,,424
"Blunt, Henry","Lectures on the History of Elisha","London: J. Hatchard & Son",1840,"285 pp.","C",,"Goo",,425
"Blunt, John H.","Directorium Pastorale; Principles and Practice of Pastoral Work in the Church of England","London: Rivingtons",1864,"436 pp.","C",,"Arch",,426
"Boardman, William","The Higher Christian Life","Boston: Henry Hoyt",1859,"330 pp.","A,H","AU, LLU","Goo,MOA",,427
"Boehmer, Edward","Spanish Reformers of Two Centuries From 1520, vol. 2 (=Bibliotheca Wiffeniana)","London: Trubner and Co.",1883,"374 pp.","B","WE, AU, PUC","Hathi",,428
"Bogatzky, Karl Heinrich von","A Golden Treasury for the Children of God","NY: Evert Duyckinck",1811,"384 pp.","A","WEa, AU","Arch",,429
"Bolton, Frances E.","Battle Hymn of the Kingdom","San Francisco: Pac. Press. Publ. Assn.",1898,"33 pp.","(B)","SDA, WE","Arch,Hathi",,430
"Bonar, Andrew","The Last Days of the Earlier Martyrs","Edinburgh: William Oliphant & Co.",1870,"143 pp.","A,B","WE",,"Only 1 library in the U.S. has this: NW Christian College",431
"Bonar, Andrew","The Last Days of the Martyrs","Edinbrugh: Oliphant, Anderson, and Ferrier",1882,"259 pp.","A","AU",,,432
"Bonar, Horatius","Follow the Lamb; or Counsels to Converts","NY: Robt. Carter & Bros.",1874,"130 pp.","A","UChicago","Goo,DBI","Only 3 libraries have the 1874 British ed.: British Library, Cambridge Univ., and Natl. Library of Scotland",433
"Bonar, Horatius","Morning of Joy","NY: Robt. Carter & Bros.",1854,"220 pp.","A","WE, AU","Goo",,434
"Bonar, Horatius","Truth and Error; Letters to a Friend","NY: Robt. Carter & Bros.",1851,"286 pp.","A","Brown U., UChicago","Goo",,435
"Bonnechose, Emile de","The Reformers Before the Reformation, tr. C. MacKenzie","Edinburgh: William Whyte and Co.",1844,"2 Vols. in 1","B","WE, AU",,,436
"Bosanquet, James W.","Chronology of the Times of Daniel, Ezra, and Nehemiah...","London: Longman, Brown, Green, and Longmans",1848,"285 pp.","C","AU",,,437
"Bossut, Abbe Belem","Belem's Spanish Phrase Book","N.p, n.p.","n.d.","86 pp.","B","Duke (1923 ed.)",,,438
"Botsford, George W.","A History of Greece for High Schools and Academies","NY: The Macmillan Co.",1899,"381 pp.","C","AU (1912 ed.)","Goo",,439
"Bourdillon, Francis","A Help to Family Worship; or, Short Forms of Morning and Evening Prayer for Four Weeks","London: Religious Tract Society",1884,"128 pp.","C","WEa, Harv., GTU",,,440
"Bowman, John A.","Truth in Conflict with the Creeds: Short Studies on the Revised Version","London: Simpkin, Marshall, Hamilton, Kent & Co.",1905,"301 pp.","C","Duke",,,441
"Boyd, James R.","Daily Communion With God","NY: American Tract Society",1873,"104 pp.","B","UChicago, Emory","Arch",,442
"Boyd, Robert","The World's Hope; or, The Rock of Ages","Chicago: J.W. Goodspeed",1873,"701 pp.","(A),B","WE, AU","Hathi",,443
"Boys, Ernest","My Lord's Money","London: James Nisbet & Co.",1886,"141 pp.","A,H","WE, Newbold","Goo",,444
"Breed, David R.","Preparing to Preach","NY: Hodder and Stoughton, G.H. Doran Co.",1911,"455 pp.","B","WEa, AU, LLU, LSU","Goo",,445
"Brengle, Samuel L.","Helps to Holiness","London: Simpkin, Marshall, Hamilton, Kent & Co.",1896,"142 pp.","A","LC, AU","Arch",,446
"Briggs, Charles A.","Biblical Study: Its Principles, Methods and History, Together with a Catalogue of Books of Reference","NY: Scribner",1883,"506 pp.","C","AU","Arch",,447
"Briggs, Charles A.","Messianic Prophecy; The Prediction of the Fulfilment of Redemption...","NY: Charles Scribner's Sons",1886,"519 pp.","B","WE, AU, PUC","Arch",,448
"Briggs, Charles A.","The Appeal in the Briggs Heresy Case","NY: John C. Rankin",1893,"378 pp.","C","AU","Goo",,449
"Brodhead, Chloe A.","Our Free Methodist Missions in Africa, to April, 1907","Pittsburgh: Aldine","ca.1908","77 pp.","B","AU, Drew",,,450
"Brodie, James","Our Present Position on the Chart of Time, as Revealed in the Word of God","Edinburgh: Johnston, Hunter & Co.",1870,"71 pp.","C","BL","Goo","Several British libraries have this; no U.S. library has it.",451
"Brooks, Thomas","The Mute Christian Under the Smarting Rod","Phila.: Wm. W. Woodward",1811,"250 pp.","A","LC, Fuller, AU, LLU","Goo,DBI",,452
"Brown, Francis","Assyriology, Its Use and Abuse in Old Testament Study","NY: Scribner",1885,"96 pp.","C",,"Goo",,453
"Brown, Goold","The Grammar of English Grammars, enlarged","NY: W. Wood, etc.",1862,"1102 pp.","C","AU, LLU","Goo",,454
"Browne, Henry","Ordo Saeclorum; A Treatise on the Chronology of the Holy Scriptures","London: J.W. Parker",1844,"704 pp.","C","AU","Goo",,455
"Brownlee, William C.","Lights and Shadows of Christian Life","NY: John S. Taylor",1847,,"A","NYPL, AU","Arch",,456
"Bryce, James B.","The Holy Roman Empire","NY: H.M. Caldwell",1886,"386 pp.","C","WEa, AU","Arch",,457
"Buckley, Theodore A.","The Canons and Decrees of the Council of Trent","London: George Routledge & Co.",1851,"399 pp.","B","WE, AU, LLU","Goo",,458
"Buddensieg, Rudolf","John Wiclif, Patriot and Reformer: Life and Writings","London: F. Fisher Unwin",1884,"164 pp.","B","WE, AU, Brown U.","Goo",,459
"Bullock, Charles","The Old Gospel Ever New: The Story of Naaman... Reprinted as: The Syrian Leper: a Chapter of Bible History Expounded","London: Wertheim, Macintosh, and Hunt",1861,"148 pp.","C",,"Goo",,460
"Bunch, Frank S.","The United States History in the Light of Prophecy","College Place, Wash.: Walla Walla College",1907,"320 pp.","(B)","SDA, WE",,,461
"Bungener, Laurence F.","History of the Council of Trent","Edinburgh: Thomas Constable and Co.",1853,"560 pp.","(B)","WE, AU, LLU, LSU","Goo",,462
"Bungener, Laurence L.","Trois Sermons sous Louis XV; The Priest and the Huguenot; or, Persecution in the Age of Louis XV","Boston: Gould & Lincoln",1853,"2 vols.","C","AU, LLU","Goo",,463
"Burgon, John W.","The Causes of the Corruption of the Traditional Text of the Holy Gospels","London: G. Bell",1896,"290 pp.","C","AU","Goo,Arch,CCEL",,464
"Burgon, John W.","The Last Twelve Verses of the Gospel According to S. Mark Vindicated against recent Critical Objectors and Established","Oxford: J. Parker",1871,"334 pp.","B","Biola","Arch,CCEL",,465
"Burgon, John W.","The Revision Revised; Three Articles Reprinted from The Quarterly Review","London: J. Murray",1883,"549 pp.","C","AU","Goo,Arch",,466
"Burgon, John W.","The Traditional Text of the Holy Gospels","London: G. Bell",1896,"317 pp.","C","AU","Goo,Arch",,467
"Burk, Johann A.","Memoir of the Life and Writings of John Albert Bengel","London: William Ball",1837,,"C","AU","Goo,Arch",,468
"Burke, Edmund","Reflections on the French Revolution","NY: Maynard, Merrill & Co.","c.1895","144 pp.","C","AU","Goo,Arch",,469
"Burn, Samuel C.","The Prophet Jonah","London: Hodder and Stoughton",1880,"302 pp.","C","AU, LLU",,,470
"Burnet, Gilbert","Bishop Burnet's History of his own Time","London: William S. Orr & Co.",1850,"949 pp.","C","AU","Goo","(6 vols.)",471
"Burns, Jabez","Mothers of the Wise and Good","Boston: Gould, Kendall & Lincoln",1850,"288 pp.","A","WEa, AU, NYPL","Goo",,472
"Burr, Enoch Fitch","Pater Mundi; or, Doctrine of Evolution","NY: American Tract Society",1873,"307 pp.","A","CUC, AU","MOA",,473
"Burr, Enoch Fitch","Pater Mundi; or, Modern Science","Boston: Nichols & Noyes",1870,"294 pp.","A","LC, AU, LLU","MOA",,474
"Burroughs, Jeremiah","An Exposition of the Prophecy of Hosea","London: W. E. & F. G.",1643,"750 pp.","C","AU (1865 ed.)",,"for R. Dawlman",475
"Burroughs, Jeremiah","Moses, His Self-denyall, Delivered in a Treatise upon Hebrews 11, the Verse 24.","London: T. Paine",1641,"262 pp.","C","Harv.",,,476
"Bushnell, Albert","My Mother: a Grateful Tribute to Departed Worth; pref. by Mrs. Lydia H. Sigourney","Oberlin, Ohio: James",1849,"166 pp.","A","OC, Asbury, Duke",,"SU: Biography",477
"Bushnell, Horace","The Vicarious Sacrifice, Grounded in Principles Interpreted by Human Analogies","NY: Scribner","c.1887","2 vols.","C","AU","Goo,MOA",,478
"Bushnell, Horace","The Vicarious Sacrifice, Grounded in Principles of Universal Obligation","London: R.D. Dickinson",1892,"476 pp.","C","AU","Goo,MOA","This copy has Crisler bookplate on it.",479
"Bustamante, M.C., 7 C.","Conversation English-Spanish = Manual de la Conversacion ... Espanol-Ingles","Paris: Garnier Hermanos",1881,"364 pp.","B","NY Historical Soc.","Hathi",,480
"Butler, George I., ed.","Facts for the Times; A Collection of Valuable Historical Extracts?","Oakland, Cal.: Pacific Press",1885,"284 pp.","B","SDA, WE","GCArch","(also 1893)",481
"Butler, James","The Most Reverend Dr. James Butler's Catechism, Revised, Improved, and Recommended...","NY: E. Dunigan & Brother",1851,"64 pp.","B","WE, AU, NYPL, GTU","Arch",,482
"Butler, Joseph","Butler's Analogy of Religion, Natural and Revealed","NY: Robert Carter & Bros.","n.d.","312 pp.","C","WEa, AU","Goo,MOA","(many ed.; 1st publ. 1736)",483
"Butler, William A.","Lectures on the History of Ancient Philosophy","London: MacMillan & Co.",1874,,"B","WE, AU","Arch",,484
"Buxton, Mrs. Sydney","Side Lights upon Bible History","London: MacMillan & Co.",1892,"299 pp.","C",,"Goo",,485
"Cadman, James P.","Christ in the Gospels, 6th ed.","Chicago: American Publ. Society of Hebrew",1886,"382 pp.","A","WE, AU, LLU, LSU","Arch",,486
"Caldecott, W. Shaw","The Tabernacle; Its History and Structure","Phila.: The Union Press",1904,"236 pp.","C","LC, AU, LLU","Arch",,487
"Calmet, Augustin","Dictionary of the Holy Bible, ed. by Charles Taylor, rev. by Edward Robinson","Boston: Crocker and Brewster",1832,"1003 pp.","C","AU","Hathi",,488
"Calvin, John","Commentaries on the Epistle of Paul the Apostle to the Hebrews, ed. John Owen","Edinburgh: Calvin Translation Society",1853,"448 pp.","B","WE, AU","CCEL",,489
"Calvin, John","Commentaries on the Epistle of Paul the Apostle to the Romans, ed. John Owen","Edinburgh: Calvin Translation Society",1849,"592 pp.","B","WE, AU","CCEL",,490
"Calvin, John","Commentaries on the Twelve Minor Prophets",,,"5 vols.","C","AU","CCEL",,491
"Calvin, John","Commentary on Galations",,,,"B",,"CCEL",,492
"Calvin, John","Commentary on the Epistles of Paul the Apostle to the Corinthians, tr. J. Pringle","Edinburgh: Calvin Trans. Society","1848-49","2 Vols.","B","WE","CCEL",,493
"Calvin, John","Commentary upon the Acts of the Apostles, ed. H. Beveridge","Edinburgh: Calvin Trans. Society",1844,"2 Vols.","B","WE","CCEL",,494
"Calvin, John","Institutes of the Christian Religion, 6th Amer. ed.","Phila.: Presbyterian Board of Christian Educ.",1928,"2 vols.","C","LC","Goo","(1st publ. 1813)",495
"Cameron, Robert","The First Epistle of John; or, God Revealed in Life, Light, and Love","Phila.: A.J. Rowland",1899,"274 pp.","C",,"Arch",,496
"Campbell, George","White and Black; the Outcome of a Visit to the United States","NY: R. Worthington",1879,"420 pp.","S","AU","Goo",,497
"Campbell, John","Negro-mania","Phila.: Campbell & Power",1851,"549 pp.","B","NYPL, UM, Col. U.","Goo",,498
"Campbell, Loomis J.","Handbook of English Synonyms","Boston: Lee and Shephard",1881,"160 pp.","C",,"Goo","(sev. ed.)",499
"Candler, Warren A.","The History of Sunday-schools: A Brief Historical Treatise","NY: Phillips & Hunt",1880,"149 pp.","C",,"Goo",,500
"Canright, D. M.","The Bible From Heaven: A Summary of Plain Arguments for the Bible and Christianity","Battle Creek, Mi.: S.D.A. Publ. Assn.","c.1878","300 pp.","(B)","SDA, WE",,,501
"Canright, D.M.","Controversial Literature, vol. 4",,,,"B","SDA",,"(2 copies)",502
"Canright, D.M.","The Two Laws","Battle Creek, Mi.: Steam Press",1876,"104 pp.","B","SDA",,,503
"Carleton, Geo. Washington","Carleton's Handbook of Popular Quotations","NY: G.W. Carleton and Co.",1877,"340 pp.","B","LC, AU","Goo,Hathi","Bound with: Many Thoughts of Many Minds, comp. by Henry Southgate",504
"Carlyle, Thomas","History of the French Revolution","NY: J.B. Alden",1883,"2 vols.","C","AU, LSU","Goo",,505
"Carvossa, William","The Great Efficacy of Simple Faith. . ., Exemplified in a Memoir of Mr. Wm. Carvossa","NY: Carlton & Phillips",1853,"351 pp.","A","LC, NYPL, AU, LLU","Goo",,506
"Cary, George L.","An Introduction to the Greek of the New Testament","Andover, Mass.: W.F. Draper",1879,"66 pp.","C",,"Goo",,507
"Caspari, Chretien E.","A Chronological and Geographical Introduction to the Life of Christ, tr. M.J. Evans","Edinburgh: T. & T. Clark",1876,"314 pp.","C",,"Goo",,508
"Cassel, Paulus S.","An Explanatory Commentary on Esther, with Four Appendices, tr. A. Bernstein","Edinburgh: T. & T. Clark",1888,"400 pp.","C",,"Good",,509
"Castellion, Sebastien","Biblia Sacra - see Chateillon, Sebastien",,,,,,,,510
"Cattermole, Richard","The Council of Constance, and the War in Bohemia","London: Printed for the Soc. for Promoting Christian Knowledge",1855,"304 pp.","C","AU","Goo",,511
"Caughey, James","Helps to a Life of Holiness and Usefulness; or, Revival Miscellanies","Boston: J.P. Magee",1852,"442 pp.","A","AU, OSU","MOA",,512
"Cave, Alfred","The Inspiration of the Old Testament Inductively Considered","London: Congregational Union of Eng. & Wales",1883,"508 pp.","C","AU","Arch",,513
"Caverhill, John","An Explanation of the 70 Weeks of Daniel","London: Evans",1777,"219 pp.","C","UPenn.",,"Only library in the U.S. that has this: University of Pennsylvania",514
"Cehon","The Last Message to a Lost World - see Alexis Cehon Jeffries",,,,"B",,,,515
"Challoner, Richard","The Catholic Christian Instructed in the Sacraments, Sacrifice, Ceremonies, and Observances...","NY: P.J. Kenedy",1897,"307 pp.","B","WE, AU, LLU","Goo,DBI",,516
"Chamberlain, Joseph E.","John Brown","London: Kegan Paul, Trench, Trubner & Co.",1899,"138 pp.","B","WE, AU, UM, Clare.","Goo",,517
"Champion, Edme","J.J. Rouseau et la Revolution Francaise","Paris: A. Colin",1909,"276 pp.","B","LC, AU, UM","Arch",,518
"Channing, William E.","The Works of William E. Channing, D.D., with an Introduction","Boston: American Unitarian Assoc.",1875,"931 pp.","C","AU","MOA","(many ed.)",519
"Chase, Fanny D.","Speaker's Manual of Pronounciation",,,,"B","SDA",,,520
"Chase, Irah","Remarks on the Book of Daniel, in Regard to the Four Kingdoms","Boston: Gould, Kendall & Lincoln",1844,"84 pp.","B","WE, AU, LLU","Arch,Goo",,521
"Chateillon, Sebastien","Biblia Sacra ex Sebastiani Castellionis interpretatione, ejusque postrema recognitione","London: J. Betteham",1726,"4 vols.","B","LC, NYPL, AU",,,522
"Chauncy, W. Snell","Dissertations on Unaccomplished Prophecy","London: J. Nisbet & Co.",1838,"413 pp.","C","LC, BL, Avondale","Goo","Only other U.S. library with this: Columbia University",523
"Chesnutt, Charles W.","Frederick Douglass","Boston: Small, Maynard & Co.",1899,,"S","UM","Arch",,524
"Cheyne, Thomas K.","Founders of Old Testament Criticism","London: Methuen & Co.",1893,"372 pp.","C","AU","Arch",,525
"Cheyne, Thomas K.","Jeremiah, His Life and Times","NY: Fleming H. Revell",1897,"208 pp.","C","AU, LLU","Arch","(1st publ. 1888)",526
"Cheyne, Thomas K.","The Book of Isaiah Chronologically Arranged","London: Macmillan",1870,"241 pp.","C","AU (Micro.)","Arch",,527
"Cheyne, Thomas K.","The Book of the Prophet Isaiah","NY: Dodd, Mead & Co.",1904,,"C","AU, LLU","Goo","1st publ. 1888",528
"Cheyne, Thomas K.","The Hallowing of Criticism: Nine Sermons on Elijah Preached in Rochester Cathedral...","London: Hodder & Stoughton",1888,"207 pp.","C","AU","Goo",,529
"Chiniquy, Charles P.T.","Fifty Years in the Church of Rome","London: Prot. Lit. Depos.",1886,"597 pp.","A","WEa, AU, LLU, LSU",,,530
"Churton, Edward","Lays of Faith and Loyalty; or, Narratives in Verse Selected from History","London: James Burns",1845,"164 pp.","C","Vanderb.","Goo",,531
"Clark, Alexander","Workday Christianity; or, The Gospel in the Trades","Springfield, Oh.: Meth. Publ. House",1871,"308 pp.","C","GTU","MOA",,532
"Clark, Francis E.","Ways and Means for the Young People's Society of Christian Endeavor","Boston: n.p.",1890,,"C",,"Goo",,533
"Clark, James O.A.","Elijah Vindicated; or, The Answer by Fire","Nashville, TN.: Southern Methodist Publ. House",1886,"399 pp.","C","UM","Goo",,534
"Clark, Rufus","Heaven and Its Scriptural Emblems","Phila.: John E. Potter & Co.",1852,"269 pp.","A,H","WE, AU, BYU, DTS","Goo",,535
"Clarke, Adam","Christian Theology, ed. Samuel Dunn","NY: T. Mason & G. Lane",1837,"438 pp.","(A),B","WE, AU, UCLA","Goo",,536
"Clarke, Adam","Commentary on the Holy Bible = The Holy Bible Containing the Old and New Testaments","(many editions)",,"7 vols.","C","AU","DBI","1st ed. originally publ. 1810- 1825 in 8 vols.",537
"Clarke, James Freeman","Christian's Doctrine of Prayer (6th ed.)","Boston: American Unitarian Assn.",1867,"313 pp.","A","LC, Fuller, GTU, DTS","MOA",,538
"Clarke, Joseph Butterworth Bulmer","An Account of the Infancy, Religious, and Literary Life of Adam Clarke","NY: B. Waugh and T. Mason",1833,"3 vols. in 1","C","LC, AU","Goo",,539
"Clarke, Mary G., comp.","Sunshine and Shadows Along the Pathway of Life","Chicago: Clark & Co.",1868,"398 pp.",,"WE, AU","DBI",,540
"Clement of Alexandra","Writings and Opinions - see Kaye, John",,,,"C",,,,541
"Cochin, Augustin","The Results of Emancipation, tr. Mary L. Booth","Boston; Walker, Wise & Co.",1863,"412 pp.","(B)","WE, AU","Goo",,542
"Cochrane, Robert, ed.","The Treasury of Modern Biography","Edinburgh: William P. Nimmo and Co.",1881,"542 pp.","B","WE, AU, PUC","Goo",,543
"Codman, John T.","Brook Farm: Historic and Personal Memoirs","Boston: Arena Publ. Co.",1894,"335 pp.","(B)","WE, AU, PUC","Goo",,544
"Colcord, Anna L.","A Friend in the Kitchen","Oakland, Cal.: Pacific Press Publ. Co.",1899,,"B","SDA",,,545
"Coles, Larkin B.","Philosophy of Health: Natural Principles of Health and Cure","Boston: Brown, Taggard and Chase",1860,"312 pp.","A,H","WE, AU, LLU, LSU","Goo","Together with: The Beauties and Deformities of Tobacco-Using",546
"Coles, Larkin B.","The Beauties and Deformities of Tobacco-Using","Boston: Brown, Taggard and Chase",1851,"144 pp.","A,H","WE, AU, LLU, LSU",,"Together with: Philosophy of Health: Natural Principles of Health and Cure",547
"Collyer, William B.","Lectures on Scripture Prophecy","London: Williams and Smith",1809,"508 pp.","C","Emory",,,548
"Colton, Walter","The Sea and the Sailor: Notes on France and Italy","NY: A.S. Barnes & Co.",1851,"437 pp.","A","NYPL, AU","Arch",,549
"Cone, Jessica, ed.","Scenes from the Life of Christ, Pictured in Holy Word and Sacred Art","NY: G.P. Putnam's Sons",1892,"142 pp.","B","LC, WEa, AU","Goo",,550
"Conference Report","Race Problems of the South - see Southern Society for?",,,,,,,,551
"Connor, James","Conversation Book in French, German, and English for the Use of Schools and Travellers","(many editions)",,"286 pp.","B",,,,552
"Conradi, L.R.","Die Offenbarung Jesu",,,,"C","SDA",,,553
"Conradi, L.R.","Die Weissagung Daniels",,,,"C","SDA",,,554
"Conradi, L.R.","The Mystery Unfolded, or The Seven Seals Opened","Stanborough Park: International Tract Society, Ltd.","n.d.","351 pp.","B","SDA, WE",,,555
"Converse, Charles Crozat","Sayings of Sages","NY: Carlton and Porter",1864,"294 pp.","A","LC, Drew, NYPL",,,556
"Conybeare, W.J., and J.S. Howson","The Life and Epistles of the Apostle Paul","NY: T.Y. Crowell","n.d.","764 pp.","A,B","WE, AU, LSU, LLU","MOA,Arch","(4 copies; also 2 vol. ed.B, WE)",557
"Cook, Frederic C.","The Revised Version of the First Three Gospels Considered in its Bearings upon the Record of our Lord's Words...","London: J. Murray",1882,"250 pp.","C","AU","Goo",,558
"Cook, Frederic C., ed.","Holy Bible According to the Authorized Version, with an Explanatory and Critical Commentary...","London: J. Murray",1880,"534 pp.","C","WE, AU","Goo","Vol. 2 ""St. John to the Acts of the Apostles"" only; set of O.T. and N.T. called ""The Speaker's Commentary""",559
"Cook, Harriet N.","Trees, Fruits, Flowers of the Bible","NY: American Tract Society",1846,"120 pp.","A","LC, AU","Goo",,560
"Cooke, Parsons","The Divine Law of Beneficence","NY: American Tract Society","n.d.","104 pp.","C","WEa, AU, LLU","MOA","spine title: ""Systematic Beneficence""",561
"Copley, Esther","Kind Words for the Kitchen; or, Illustrations of Humble Life","NY: M. W. Dodd",1845,"263 pp.","A","NYPL, MichState","Hathi",,562
"Coquerel, Charles","Histoire des Eglises du Desert chez les Protestants de France","Paris: A. Cherbuliez",1841,"2 Vols.","B","Uchicago, UM, Yale","Hathi",,563
"Cornill, Carl H.","The Prophets of Israel; Popular Sketches from Old Testament History, tr. S.F. Corkran","Chicago: The Open Court Publ. Co.",1895,"194 pp.","C","LLU, LSU","Goo","(many ed.)",564
"Cottrell, Roswell F.","The Bible Class,","Rochester, N.Y.: Advent Review office",1855,"125 pp.","B","SDA",,,565
"Cowley, Matthias F.","Cowley's Talks on Doctrine","Chicago: Missions of the Church of Jesus Christ of Latter Day Saints","1900s","287 pp.","B","LC, AU","Arch",,566
"Cox, John","Thoughts on the Coming and Kingdom of our Lord Jesus Christ, 2nd ed., rev.","London: J. Nisbet & Co.",1839,"226 pp.","C","AU, LLU (Micro.)",,,567
"Cox, Samuel","The Private Letters of St. Paul and St. John","London: Arthur Miall",1867,"131 pp.","B","WE, AU, Uchicago","Arch",,568
"Crabb, George","English Synonymes Explained in Alphabetical Order","NY: J. & J. Harper",1826,"719 pp.","C","AU","MOA","(many ed.)",569
"Crafts, Wilbur F.","The Sabbath For Man","NY: Funk and Wagnalls",1885,"638 pp.","(B)","WE, AU, LLU, LSU","Arch",,570
"Cragin, Louisa T.","Pictures in Palestine, The Story of Jesus, a Book for the Home","NY: Fords, Howard, and Hulbert",1886,"610 pp.","B","WE, AU",,"Co-author: Alexandre Bida",571
"Craig, J., tr.","History of the Protestant Church in Hungary, ... to 1850","Boston: Phillips, Sampson, and Co.",1854,"559 pp.","(B)","WE, AU","Goo",,572
"Craik, Henry","The Hebrew Language: Its History and Characteristics","London: Bugster and Sons",1860,"187 pp.","C","AU, LLU","Arch",,573
"Crane, Jonathan T.","Arts of Intoxication","NY: Phillip & Hunt",1870,"264 pp.","A","LC, AU, UCLA, OC","MOA",,574
"Creighton, Mandell","Persecution and Tolerance, Being the Hulsean Lectures","London, NY: Longmans, Green, & Co.",1895,"140 pp.","C","AU","Arch",,575
"Crockett, William D.","The Books of the Kings of Judah and Israel: A Harmony of the Books of Samuel, Kings, & Chronicles...","NY: Press of Eaton & Mains",1897,"365 pp.","C","AU, LSU","Goo",,576
"Croly, George","The Apocalypse of St. John, or, Prophecy of the Rise, Progress, and Fall of the Church of Rome","London: for C. & J. Rivington",1827,"470 pp.","C","AU, LLU","Goo",,577
"Crosby, Howard","Healthy Christian; an Appeal to the Church","NY: American Tract Society",1871,"163 pp.","A","LC, AU","MOA",,578
"Cruden, Alexander","A Complete Concordance to the Holy Scriptures of the Old and New Testaments","NY: M.W. Dodd",1854,"856 pp.","A","LC, AU","Goo,Arch",,579
"Culp, Daniel W.","Twentieth Century Negro Literature","Naperville, Ill.: J. L. Nichols & Co.",1902,"472 pp.","B","WE, AU (Micro.)","Goo",,580
"Culross, James","John, Whom Jesus Loved","NY: Robert Carter & Brothers",1878,"244 pp.","B","WE, AU, LLU","Goo",,581
"Cumming, John","Apocalyptic Sketches; or Lectures on the Book of Revelation","London: Hall, Virtue, and Co.",1850,"543 pp.","C","WEa, AU, LLU","Arch","(1st publ. 1848)",582
"Cumming, John","Lives and Lessons of the Patriarchs Unfolded and Illustrated","London: John F. Shaw and Co.",1865,"616 pp.","B,H","WE, AU, Fuller, GTU","Goo",,583
"Cumming, John","Prophetic Studies; or, Lectures on the Book of Daniel","London: Arthur Hall, Virtue and Co.",1850,"500 pp.","B,H","WE,AU,LLU,LSU,PUC","Arch",,584
"Cumming, John","Sabbath Evening Readings on the New Testament Scripture Reading John","Boston: John P. Jewett",1856,"464 pp.","A,H","WE, AU, GTU","Goo",,585
"Cumming, John","The Daily Life; or, Precepts and Prescriptions for Christian Living","Boston: J.P. Jewett",1855,"279 pp.","A","WEa, AU, Yale","Goo,MOA",,586
"Cumming, John","The End: or, The Proximate Signs of the Close of this Dispensation","Boston: John P. Jewett & Co.",1855,"356 pp.","(A),B","WE, AU, LLU (Micro.)","Goo",,587
"Cumming, John","Voices of the Day","Boston: J.P. Jewett",1858,"300 pp.","A","Wea, AU, LLU, PUC","Goo",,588
"Cummings, Asa","A Memoir of the Rev. Edward Payson","NY: American Tract Society","183?","486 pp.","A","LC, AU, Fuller","Goo",,589
"Cuninghame, William","A Critical Examination of some of the Fundamental Principles of the Rev. G.S. Faber's Sacred Calendar of Prophecy","Glasgow: F. Cadell, Hatchard & Son",1829,"185 pp.","C","NYPL, Harv., DTS","Hathi","Only 3 U.S. libraries have this, plus Oxford Univ.",590
"Cuninghame, William","Review of the Rev. Wardlaw's Sermon on the Millennium","London: J. Nisbet and Co.",1840,"86 pp.","B","WE, Yale","Hathi",,591
"Cuyler, Theodore L.","Heart Life","NY: American Tract Society",1871,"191 pp.","A","AU, Fuller, LLU","Goo",,592
"Cuyler, Theodore L.","Right to the Point, comp. by Mary Storrs Haynes","Boston: D. Lothrop & Co.",1884,"266 pp.","A","AUC, UChicago, OC","Arch",,593
